X,Y,Z,formation
1556.25,170,-439,UpperYunlongFm
726.25,810,-461,UpperYunlongFm
1265.75,430,-351,UpperYunlongFm
809.25,390,-373,UpperYunlongFm
1556.25,10,-395,UpperYunlongFm
103.75,570,-505,UpperYunlongFm
1597.75,630,-659,UpperYunlongFm
601.75,890,-483,UpperYunlongFm
767.75,730,-439,UpperYunlongFm
1846.75,910,-989,UpperYunlongFm
1141.25,810,-483,UpperYunlongFm
145.25,870,-593,LowerYunlongFm
1639.25,710,-923,LowerYunlongFm
394.25,990,-593,LowerYunlongFm
1680.75,750,-989,LowerYunlongFm
1680.75,730,-989,LowerYunlongFm
1058.25,850,-615,LowerYunlongFm
643.25,630,-549,LowerYunlongFm
1265.75,670,-593,LowerYunlongFm
228.25,130,-615,LowerYunlongFm
1888.25,130,-989,LowerYunlongFm
1805.25,750,-989,LowerYunlongFm
1224.25,370,-439,LowerYunlongFm
352.75,570,-571,LowerYunlongFm
809.25,890,-593,LowerYunlongFm
1473.25,750,-769,LowerYunlongFm
1556.25,90,-615,LowerYunlongFm
1058.25,210,-351,LowerYunlongFm
477.25,230,-549,LowerYunlongFm
394.25,290,-549,LowerYunlongFm
643.25,950,-593,LowerYunlongFm
767.75,250,-483,LowerYunlongFm
1722.25,610,-989,LowerYunlongFm
518.75,190,-549,LowerYunlongFm
1680.75,250,-813,LowerYunlongFm
269.75,670,-593,LowerYunlongFm
850.75,470,-483,LowerYunlongFm
186.75,170,-637,LowerYunlongFm
518.75,70,-549,LowerYunlongFm
1224.25,830,-659,LowerYunlongFm
1058.25,890,-637,LowerYunlongFm
1431.75,410,-571,LowerYunlongFm
311.25,950,-593,LowerYunlongFm
809.25,130,-483,LowerYunlongFm
1805.25,710,-989,LowerYunlongFm
1639.25,350,-791,LowerYunlongFm
1224.25,350,-439,LowerYunlongFm
601.75,950,-593,LowerYunlongFm
1141.25,830,-615,LowerYunlongFm
352.75,150,-571,LowerYunlongFm
1556.25,170,-615,LowerYunlongFm
726.25,810,-571,LowerYunlongFm
1265.75,430,-483,LowerYunlongFm
809.25,390,-483,LowerYunlongFm
1556.25,10,-637,LowerYunlongFm
103.75,570,-615,LowerYunlongFm
1597.75,630,-857,LowerYunlongFm
601.75,890,-593,LowerYunlongFm
767.75,730,-549,LowerYunlongFm
1141.25,810,-615,LowerYunlongFm
145.25,870,-989,HutoushiFm
1639.25,710,-989,HutoushiFm
394.25,990,-967,HutoushiFm
1058.25,850,-857,HutoushiFm
643.25,630,-835,HutoushiFm
1265.75,670,-857,HutoushiFm
228.25,130,-945,HutoushiFm
1224.25,370,-725,HutoushiFm
352.75,570,-923,HutoushiFm
809.25,890,-879,HutoushiFm
1473.25,750,-967,HutoushiFm
1556.25,90,-945,HutoushiFm
1058.25,210,-593,HutoushiFm
477.25,230,-857,HutoushiFm
394.25,290,-879,HutoushiFm
643.25,950,-923,HutoushiFm
767.75,250,-681,HutoushiFm
518.75,190,-835,HutoushiFm
1680.75,250,-989,HutoushiFm
269.75,670,-967,HutoushiFm
850.75,470,-725,HutoushiFm
186.75,170,-967,HutoushiFm
518.75,70,-835,HutoushiFm
1224.25,830,-879,HutoushiFm
1058.25,890,-879,HutoushiFm
1431.75,410,-879,HutoushiFm
311.25,950,-989,HutoushiFm
809.25,130,-593,HutoushiFm
1639.25,350,-989,HutoushiFm
1224.25,350,-725,HutoushiFm
601.75,950,-923,HutoushiFm
1141.25,830,-857,HutoushiFm
352.75,150,-879,HutoushiFm
1556.25,170,-967,HutoushiFm
726.25,810,-857,HutoushiFm
1265.75,430,-769,HutoushiFm
809.25,390,-703,HutoushiFm
1556.25,10,-945,HutoushiFm
103.75,570,-989,HutoushiFm
1597.75,630,-989,HutoushiFm
601.75,890,-901,HutoushiFm
767.75,730,-835,HutoushiFm
1141.25,810,-857,HutoushiFm
990,0,-179,fault,AB
978,0,-215,fault,AB
963,0,-257,fault,AB
950,0,-303,fault,AB
935,0,-343,fault,AB
912,0,-385,fault,AB
860,0,-435,fault,AB
839,0,-478,fault,AB
820,0,-512,fault,AB
803,0,-553,fault,AB
782,0,-597,fault,AB

