X,Y,Z,grade,borehole
194.22,770.0,-1107.81,4.815689252379792,38
194.22,770.0,-1085.4299999999998,4.815535318563841,38
194.22,770.0,-1063.05,4.815412210538787,38
194.22,770.0,-1040.6699999999998,4.815323857266758,38
194.22,770.0,-1018.29,4.815274301370577,38
194.22,770.0,-995.91,4.815267663393108,38
194.22,770.0,-973.53,4.815308097579421,38
194.22,770.0,-951.15,4.815399738029635,38
194.22,770.0,-928.77,4.81554663411855,38
194.22,770.0,-906.39,4.815752674224136,38
194.22,770.0,-884.01,4.816021497074293,38
194.22,770.0,-861.63,4.81635639043171,38
194.22,770.0,-839.25,4.816760177404629,38
194.22,770.0,-816.8699999999999,4.817235091403886,38
194.22,770.0,-794.49,4.817782641655014,38
194.22,770.0,-772.1099999999999,4.818403472195118,38
194.22,770.0,-749.73,4.819097218394203,38
194.22,770.0,-727.3499999999999,4.81986236617535,38
194.22,770.0,-704.97,4.820696120185139,38
194.22,770.0,-682.5899999999999,4.821594288084928,38
194.22,770.0,-660.21,4.822551188785779,38
194.22,770.0,-637.8299999999999,4.823559592726241,38
194.22,770.0,-615.45,4.824610702092285,38
194.22,770.0,-593.0699999999999,4.825694178128914,38
194.22,770.0,-570.6899999999999,4.826798221353411,38
194.22,770.0,-548.31,4.827909708559372,38
194.22,770.0,-525.93,4.829014388060851,38
194.22,770.0,-503.55,4.830097131782671,38
194.22,770.0,-481.17,4.8311422397240245,38
194.22,770.0,-458.79,4.83213378920993,38
194.22,770.0,-436.41,4.8330560184235045,38
194.22,770.0,-414.03,4.833893731203531,38
194.22,770.0,-391.65,4.834632708195043,38
194.22,770.0,-369.27,4.835260108312608,38
194.22,770.0,-346.89,4.835764844214298,38
194.22,770.0,-324.51,4.836137916121504,38
194.22,770.0,-302.13,4.836372689820535,38
194.22,770.0,-279.75,4.836465106950523,38
194.22,770.0,-257.37,4.836413818573676,38
194.22,770.0,-234.99,4.836220236358456,38
194.22,770.0,-212.61,4.835888499287512,38
194.22,770.0,-190.23,4.835425357428076,38
194.22,770.0,-167.85000000000002,4.834839977784448,38
194.22,770.0,-145.47000000000003,4.834143680417009,38
194.22,770.0,-123.09000000000005,4.833349615715513,38
194.22,770.0,-100.71000000000004,4.832472395841533,38
194.22,770.0,-78.32999999999993,4.8315276948220935,38
