X,Y,Z,grade,borehole
525.89,275.0,-725.4000000000001,0.1690143403460872,1
525.89,275.0,-709.8000000000001,0.1695194707754249,1
525.89,275.0,-694.2,0.1699565688171297,1
525.89,275.0,-678.6,0.1703212338669884,1
525.89,275.0,-663.0,0.1706096951631663,1
525.89,275.0,-647.4000000000001,0.1708188904009402,1
525.89,275.0,-631.8000000000001,0.1709465373812737,1
525.89,275.0,-616.2,0.1709911975951212,1
525.89,275.0,-600.6,0.1709523295996147,1
525.89,275.0,-585.0,0.170830328766347,1
525.89,275.0,-569.4000000000001,0.1706265488743502,1
525.89,275.0,-553.8,0.1703433005464986,1
525.89,275.0,-538.2,0.1699838220674621,1
525.89,275.0,-522.6,0.1695522198125125,1
525.89,275.0,-507.0,0.1690533781675215,1
525.89,275.0,-491.4,0.1684928419375864,1
525.89,275.0,-475.8,0.167876677176006,1
525.89,275.0,-460.2000000000001,0.1672113185159132,1
525.89,275.0,-444.6,0.1665034120782015,1
525.89,275.0,-429.0,0.1657596627908585,1
525.89,275.0,-413.4,0.1649866936918762,1
525.89,275.0,-397.8,0.1641909228719797,1
525.89,275.0,-382.2,0.1633784615548991,1
525.89,275.0,-366.6,0.1625550347572403,1
525.89,275.0,-351.0,0.1617259242470647,1
525.89,275.0,-335.4,0.160895932237522,1
525.89,275.0,-319.8,0.1600693634189887,1
525.89,275.0,-304.2,0.1592500224969275,1
525.89,275.0,-288.6,0.1584412242798842,1
525.89,275.0,-273.0,0.1576458134636151,1
525.89,275.0,-257.4,0.1568661915032435,1
525.89,275.0,-241.79999999999995,0.1561043482902486,1
525.89,275.0,-226.20000000000005,0.1553618967071139,1
525.89,275.0,-210.6,0.1546401084859853,1
525.89,275.0,-195.0,0.1539399501280328,1
525.89,275.0,-179.39999999999998,0.1532621179355,1
525.89,275.0,-163.79999999999995,0.1526070714637095,1
525.89,275.0,-148.20000000000005,0.1519750649147166,1
525.89,275.0,-132.60000000000002,0.151366176170013,1
525.89,275.0,-117.0,0.1507803333001837,1
525.89,275.0,-101.39999999999998,0.1502173384989699,1
525.89,275.0,-85.79999999999995,0.1496768894722807,1
966.17,2325.0,-756.6,0.1158649825463003,10
966.17,2325.0,-741.0,0.1149774606617895,10
966.17,2325.0,-725.4000000000001,0.1141109905239103,10
966.17,2325.0,-709.8000000000001,0.1132750473909762,10
966.17,2325.0,-694.2,0.112478847935168,10
966.17,2325.0,-678.6,0.1117310029144235,10
966.17,2325.0,-663.0,0.1110392172078479,10
966.17,2325.0,-647.4000000000001,0.1104100595787114,10
966.17,2325.0,-631.8000000000001,0.1098488150683103,10
966.17,2325.0,-616.2,0.109359422722554,10
966.17,2325.0,-600.6,0.1089444921369884,10
966.17,2325.0,-585.0,0.1086053853274126,10
966.17,2325.0,-569.4000000000001,0.1083423463102221,10
966.17,2325.0,-553.8,0.1081546595227957,10
966.17,2325.0,-538.2,0.1080408193934876,10
966.17,2325.0,-522.6,0.1079986962935359,10
966.17,2325.0,-507.0,0.1080256880036678,10
966.17,2325.0,-491.4,0.1081188499936139,10
966.17,2325.0,-475.8,0.108275001664046,10
966.17,2325.0,-460.2000000000001,0.10849080883414,10
966.17,2325.0,-444.6,0.1087628449600817,10
966.17,2325.0,-429.0,0.1090876348065908,10
966.17,2325.0,-413.4,0.1094616846802089,10
966.17,2325.0,-397.8,0.1098815030842727,10
966.17,2325.0,-382.2,0.1103436150256248,10
966.17,2325.0,-366.6,0.1108445724297105,10
966.17,2325.0,-351.0,0.1113809623831083,10
966.17,2325.0,-335.4,0.1119494143241756,10
966.17,2325.0,-319.8,0.1125466068749748,10
966.17,2325.0,-304.2,0.1131692747318762,10
966.17,2325.0,-288.6,0.1138142158634363,10
966.17,2325.0,-273.0,0.1144782991551875,10
966.17,2325.0,-257.4,0.1151584725559195,10
966.17,2325.0,-241.79999999999995,0.1158517716999363,10
966.17,2325.0,-226.20000000000005,0.1165553289001255,10
966.17,2325.0,-210.6,0.1172663823327635,10
966.17,2325.0,-195.0,0.1179822851753511,10
966.17,2325.0,-179.39999999999998,0.1187005144209922,10
966.17,2325.0,-163.79999999999995,0.1194186790808513,10
966.17,2325.0,-148.20000000000005,0.120134527499767,10
966.17,2325.0,-132.60000000000002,0.1208459535454139,10
966.17,2325.0,-117.0,0.1215510014824147,10
843.87,825.0,-756.6,0.1546771953319943,11
843.87,825.0,-741.0,0.1554826951364653,11
843.87,825.0,-725.4000000000001,0.1563116298989476,11
843.87,825.0,-709.8000000000001,0.1571616181081368,11
843.87,825.0,-694.2,0.1580296699331134,11
843.87,825.0,-678.6,0.1589121229557747,11
843.87,825.0,-663.0,0.1598045836841873,11
843.87,825.0,-647.4000000000001,0.1607018802788593,11
843.87,825.0,-631.8000000000001,0.1615980334141973,11
843.87,825.0,-616.2,0.1624862535920574,11
843.87,825.0,-600.6,0.1633589741888053,11
843.87,825.0,-585.0,0.1642079295762305,11
843.87,825.0,-569.4000000000001,0.1650242862392956,11
843.87,825.0,-553.8,0.1657988313863392,11
843.87,825.0,-538.2,0.1665222178444368,11
843.87,825.0,-522.6,0.1671852563488352,11
843.87,825.0,-507.0,0.1677792377586525,11
843.87,825.0,-491.4,0.1682962601331103,11
843.87,825.0,-475.8,0.1687295312301732,11
843.87,825.0,-460.2000000000001,0.1690736176743703,11
843.87,825.0,-444.6,0.1693246183250659,11
843.87,825.0,-429.0,0.1694802500336895,11
843.87,825.0,-413.4,0.1695398462999393,11
843.87,825.0,-397.8,0.1695042801393946,11
843.87,825.0,-382.2,0.1693758293302911,11
843.87,825.0,-366.6,0.1691580042620375,11
843.87,825.0,-351.0,0.1688553566321713,11
843.87,825.0,-335.4,0.1684732830005868,11
843.87,825.0,-319.8,0.168017832594245,11
843.87,825.0,-304.2,0.1674955250667981,11
843.87,825.0,-288.6,0.1669131816160448,11
843.87,825.0,-273.0,0.166277771718703,11
843.87,825.0,-257.4,0.1655962772102852,11
843.87,825.0,-241.79999999999995,0.1648755750131715,11
843.87,825.0,-226.20000000000005,0.1641223392299069,11
843.87,825.0,-210.6,0.1633429625531303,11
843.87,825.0,-195.0,0.1625434961300953,11
843.87,825.0,-179.39999999999998,0.1617296063206504,11
843.87,825.0,-163.79999999999995,0.1609065463132545,11
843.87,825.0,-148.20000000000005,0.1600791403466384,11
843.87,825.0,-132.60000000000002,0.1592517782930037,11
843.87,825.0,-117.0,0.1584284185258098,11
843.87,825.0,-101.39999999999998,0.1576125972494242,11
1186.31,1725.0,-772.2,0.1178369092571598,12
1186.31,1725.0,-756.6,0.1171958804675477,12
1186.31,1725.0,-741.0,0.1166061832077637,12
1186.31,1725.0,-725.4000000000001,0.1160738357182282,12
1186.31,1725.0,-709.8000000000001,0.1156039354995264,12
1186.31,1725.0,-694.2,0.115200546951371,12
1186.31,1725.0,-678.6,0.11486664106035,12
1186.31,1725.0,-663.0,0.1146040862205958,12
1186.31,1725.0,-647.4000000000001,0.1144136847480439,12
1186.31,1725.0,-631.8000000000001,0.1142952463320104,12
1186.31,1725.0,-616.2,0.114247687864327,12
1186.31,1725.0,-600.6,0.1142691488039284,12
1186.31,1725.0,-585.0,0.1143571122315094,12
1186.31,1725.0,-569.4000000000001,0.114508523625057,12
1186.31,1725.0,-553.8,0.1147199016915931,12
1186.31,1725.0,-538.2,0.1149874379125484,12
1186.31,1725.0,-522.6,0.1153070834919027,12
1186.31,1725.0,-507.0,0.1156746239574113,12
1186.31,1725.0,-491.4,0.1160857426958926,12
1186.31,1725.0,-475.8,0.1165360752350398,12
1186.31,1725.0,-460.2000000000001,0.1170212562026888,12
1186.31,1725.0,-444.6,0.1175369607093755,12
1186.31,1725.0,-429.0,0.1180789415221619,12
1186.31,1725.0,-413.4,0.1186430629281188,12
1186.31,1725.0,-397.8,0.1192253317107033,12
1186.31,1725.0,-382.2,0.1198219252500248,12
1186.31,1725.0,-366.6,0.1204292164565806,12
1186.31,1725.0,-351.0,0.1210437950824249,12
1186.31,1725.0,-335.4,0.1216624849254112,12
1186.31,1725.0,-319.8,0.1222823565318411,12
1186.31,1725.0,-304.2,0.1229007351768719,12
1186.31,1725.0,-288.6,0.123515204119955,12
1186.31,1725.0,-273.0,0.1241236033554506,12
1186.31,1725.0,-257.4,0.1247240242748257,12
1186.31,1725.0,-241.79999999999995,0.1253148008056529,12
1186.31,1725.0,-226.20000000000005,0.1258944976845195,12
1186.31,1725.0,-210.6,0.1264618965561476,12
1186.31,1725.0,-195.0,0.1270159805767181,12
1186.31,1725.0,-179.39999999999998,0.127555918146841,12
1186.31,1725.0,-163.79999999999995,0.1280810463213409,12
1186.31,1725.0,-148.20000000000005,0.1285908543508878,12
1186.31,1725.0,-132.60000000000002,0.129084967714535,12
1186.31,1725.0,-117.0,0.1295631329099749,12
476.97,2425.0,-709.8000000000001,0.1295847984449939,13
476.97,2425.0,-694.2,0.1301431119647986,13
476.97,2425.0,-678.6,0.1307237070238275,13
476.97,2425.0,-663.0,0.1313165459401181,13
476.97,2425.0,-647.4000000000001,0.13191005213131,13
476.97,2425.0,-631.8000000000001,0.1324912077983428,13
476.97,2425.0,-616.2,0.1330457549638301,13
476.97,2425.0,-600.6,0.1335585114455712,13
476.97,2425.0,-585.0,0.1340138039197751,13
476.97,2425.0,-569.4000000000001,0.1343960085985296,13
476.97,2425.0,-553.8,0.1346901774581692,13
476.97,2425.0,-538.2,0.1348827159831004,13
476.97,2425.0,-522.6,0.1349620687147689,13
476.97,2425.0,-507.0,0.1349193630436135,13
476.97,2425.0,-491.4,0.1347489607578245,13
476.97,2425.0,-475.8,0.1344488713413124,13
476.97,2425.0,-460.2000000000001,0.1340209906222482,13
476.97,2425.0,-444.6,0.1334711421079054,13
476.97,2425.0,-429.0,0.1328089146035489,13
476.97,2425.0,-413.4,0.1320473065617171,13
476.97,2425.0,-397.8,0.1312022030641618,13
476.97,2425.0,-382.2,0.1302917236895169,13
476.97,2425.0,-366.6,0.129335487562283,13
476.97,2425.0,-351.0,0.1283538450593304,13
476.97,2425.0,-335.4,0.1273671240825391,13
476.97,2425.0,-319.8,0.1263949331787184,13
476.97,2425.0,-304.2,0.1254555551899026,13
476.97,2425.0,-288.6,0.1245654548293625,13
476.97,2425.0,-273.0,0.1237389128687856,13
476.97,2425.0,-257.4,0.1229877895821907,13
476.97,2425.0,-241.79999999999995,0.1223214115330377,13
476.97,2425.0,-226.20000000000005,0.1217465692017584,13
476.97,2425.0,-210.6,0.1212676085116542,13
476.97,2425.0,-195.0,0.1208865969443257,13
476.97,2425.0,-179.39999999999998,0.1206035443795998,13
476.97,2425.0,-163.79999999999995,0.1204166596789708,13
476.97,2425.0,-148.20000000000005,0.1203226259458227,13
476.97,2425.0,-132.60000000000002,0.1203168799450732,13
476.97,2425.0,-117.0,0.1203938840040201,13
476.97,2425.0,-101.39999999999998,0.120547381570171,13
1137.39,725.0,-709.8000000000001,0.1559507816387563,14
1137.39,725.0,-694.2,0.1567284945065173,14
1137.39,725.0,-678.6,0.1575136203821577,14
1137.39,725.0,-663.0,0.1583013955684598,14
1137.39,725.0,-647.4000000000001,0.159086366182916,14
1137.39,725.0,-631.8000000000001,0.1598623953073956,14
1137.39,725.0,-616.2,0.1606226975688498,14
1137.39,725.0,-600.6,0.1613599062982064,14
