,X,Y,Z,grade,formation,borehole
0,374.0,1333.0,-277.0,2.0640931183156805,5,1
1,374.0,1333.0,-265.4,2.06415498346324,5,1
2,374.0,1333.0,-253.79999999999998,2.064219690833544,5,1
3,374.0,1333.0,-242.2,2.064287138167095,5,1
4,374.0,1333.0,-230.6,2.0643569666107986,5,1
5,374.0,1333.0,-219.0,2.064428496801143,5,1
6,330.0,1333.0,-288.6,2.0640363734158034,5,2
7,330.0,1333.0,-277.0,2.064119482148059,5,2
8,330.0,1333.0,-265.4,2.064206877186802,5,2
9,330.0,1333.0,-253.79999999999998,2.064298498661016,5,2
10,330.0,1333.0,-242.2,2.064394105426554,5,2
11,330.0,1333.0,-230.6,2.064493231979972,5,2
12,330.0,1333.0,-219.0,2.0645951457326372,5,2
13,330.0,1333.0,-207.39999999999998,2.0646988075768564,5,2
14,682.0,217.0,-242.2,2.0585009244133974,5,3
15,682.0,217.0,-230.6,2.0582911513445326,5,3
16,550.0,279.0,-265.4,2.0587302706317674,5,4
17,550.0,279.0,-253.79999999999998,2.0585907654966085,5,4
18,550.0,279.0,-242.2,2.0584505596994216,5,4
19,550.0,279.0,-230.6,2.0583104327545816,5,4
20,550.0,279.0,-219.0,2.0581712460433454,5,4
21,550.0,279.0,-207.39999999999998,2.0580339389794426,5,4
22,330.0,1395.0,-311.79999999999995,2.0640290023550163,5,5
23,330.0,1395.0,-300.2,2.06412437159438,5,5
24,330.0,1395.0,-288.6,2.0642286745793337,5,5
25,330.0,1395.0,-277.0,2.0643429959379915,5,5
26,330.0,1395.0,-265.4,2.064468386928754,5,5
27,330.0,1395.0,-253.79999999999998,2.0646058052931853,5,5
28,330.0,1395.0,-242.2,2.0647560413490798,5,5
29,330.0,1395.0,-230.6,2.064919630080818,5,5
30,330.0,1395.0,-219.0,2.0650967492204506,5,5
31,330.0,1395.0,-207.39999999999998,2.065287103271776,5,5
32,330.0,1395.0,-195.8,2.0654897931232825,5,5
33,374.0,3069.0,-149.39999999999998,2.0622239636731785,5,6
34,374.0,3069.0,-137.8,2.0622182191203553,5,6
35,374.0,3069.0,-126.19999999999999,2.0622117599969703,5,6
36,374.0,3069.0,-114.60000000000002,2.062204674654073,5,6
37,374.0,3069.0,-103.0,2.0621970459948513,5,6
38,374.0,3069.0,-91.39999999999998,2.0621889515041,5,6
39,374.0,3069.0,-79.80000000000001,2.0621804633230068,5,6
40,374.0,3069.0,-68.19999999999999,2.0621716483619164,5,6
41,330.0,1147.0,-253.79999999999998,2.063335576325779,5,7
42,330.0,1147.0,-242.2,2.0633612974921136,5,7
43,330.0,1147.0,-230.6,2.063385283123368,5,7
44,330.0,1147.0,-219.0,2.063407299455732,5,7
45,330.0,1147.0,-207.39999999999998,2.0634271069561607,5,7
46,374.0,2077.0,-207.39999999999998,2.062591807889508,5,8
47,374.0,2077.0,-195.8,2.0625979631763123,5,8
48,374.0,2077.0,-184.2,2.062603130228612,5,8
49,374.0,2077.0,-172.60000000000002,2.0626072839817784,5,8
50,374.0,2077.0,-161.0,2.0626104037755506,5,8
51,330.0,2015.0,-195.8,2.062729382202821,5,9
52,330.0,2015.0,-184.2,2.0627353570058165,5,9
53,330.0,2015.0,-172.60000000000002,2.0627400904133633,5,9
54,330.0,2015.0,-161.0,2.062743546736258,5,9
55,330.0,2015.0,-149.39999999999998,2.0627456968580353,5,9
56,462.0,837.0,-265.4,2.062288139347547,5,10
57,462.0,837.0,-253.79999999999998,2.062292367474823,5,10
58,462.0,837.0,-242.2,2.062296129176751,5,10
59,462.0,837.0,-230.6,2.062299405495149,5,10
60,594.0,93.0,-277.0,2.0558503807231423,5,11
61,594.0,93.0,-265.4,2.0554168999140474,5,11
62,594.0,93.0,-253.79999999999998,2.054958939040112,5,11
63,594.0,93.0,-242.2,2.0544768684174484,5,11
64,594.0,93.0,-230.6,2.053971546234902,5,11
65,594.0,93.0,-219.0,2.0534444217060575,5,11
66,594.0,93.0,-207.39999999999998,2.052897645397955,5,11
67,594.0,93.0,-195.8,2.0523341824683254,5,11
68,594.0,93.0,-184.2,2.0517579224299296,5,11
69,594.0,93.0,-172.60000000000002,2.0511737766588976,5,11
70,374.0,2945.0,-149.39999999999998,2.062235378320589,5,12
71,374.0,2945.0,-137.8,2.062229457964468,5,12
72,374.0,2945.0,-126.19999999999999,2.0622228200041697,5,12
73,374.0,2945.0,-114.60000000000002,2.062215553577067,5,12
74,374.0,2945.0,-103.0,2.0622077422822764,5,12
75,374.0,2945.0,-91.39999999999998,2.0621994642164987,5,12
76,374.0,2945.0,-79.80000000000001,2.0621907920552305,5,12
77,374.0,2945.0,-68.19999999999999,2.0621817931719546,5,12
78,286.0,1581.0,-323.4,2.064035638668401,5,13
79,286.0,1581.0,-311.79999999999995,2.064152266257976,5,13
80,286.0,1581.0,-300.2,2.0642791335983866,5,13
81,286.0,1581.0,-288.6,2.06441722205846,5,13
82,286.0,1581.0,-277.0,2.064567491091289,5,13
83,286.0,1581.0,-265.4,2.0647308369794612,5,13
84,286.0,1581.0,-253.79999999999998,2.064908041112918,5,13
85,286.0,1581.0,-242.2,2.0650997064553973,5,13
86,286.0,1581.0,-230.6,2.0653061807706745,5,13
87,286.0,1581.0,-219.0,2.0655274651398345,5,13
88,286.0,1581.0,-207.39999999999998,2.065763106441224,5,13
89,286.0,1581.0,-195.8,2.0660120730426668,5,13
90,330.0,589.0,-195.8,2.0613402066960993,5,14
91,330.0,589.0,-184.2,2.06133201645765,5,14
92,286.0,961.0,-207.39999999999998,2.0624885850632353,5,15
93,286.0,961.0,-195.8,2.0624928575205925,5,15
94,286.0,961.0,-184.2,2.062496284006377,5,15
95,286.0,961.0,-172.60000000000002,2.0624988348211786,5,15
96,286.0,1581.0,-323.4,2.064035638668401,5,16
97,286.0,1581.0,-311.79999999999995,2.064152266257976,5,16
98,286.0,1581.0,-300.2,2.0642791335983866,5,16
99,286.0,1581.0,-288.6,2.06441722205846,5,16
100,286.0,1581.0,-277.0,2.064567491091289,5,16
101,286.0,1581.0,-265.4,2.0647308369794612,5,16
102,286.0,1581.0,-253.79999999999998,2.064908041112918,5,16
