,X,Y,Z,grade,formation,borehole
0,506.0,2201.0,-207.39999999999998,2.5411502445219534,5,1
1,506.0,2201.0,-195.8,2.541148139148295,5,1
2,506.0,2201.0,-184.2,2.54114631303818,5,1
3,506.0,2201.0,-172.60000000000002,2.5411447721690252,5,1
4,506.0,2201.0,-161.0,2.541143521505946,5,1
5,506.0,2201.0,-149.39999999999998,2.541142564969019,5,1
6,506.0,2201.0,-137.8,2.5411419054080704,5,1
7,506.0,2201.0,-126.19999999999999,2.5411415445853214,5,1
8,506.0,2201.0,-114.60000000000002,2.5411414831659997,5,1
9,506.0,2201.0,-103.0,2.541141720717071,5,1
10,506.0,2201.0,-91.39999999999998,2.541142255714011,5,1
11,506.0,2201.0,-79.80000000000001,2.541143085555543,5,1
12,506.0,2201.0,-68.19999999999999,2.541144206586112,5,1
13,374.0,1581.0,-195.8,2.539831292889914,5,2
14,374.0,1581.0,-184.2,2.5398195347845856,5,2
15,374.0,1581.0,-172.60000000000002,2.5398100530644774,5,2
16,374.0,1581.0,-161.0,2.5398028960011487,5,2
17,374.0,1581.0,-149.39999999999998,2.5397980990629234,5,2
18,374.0,1581.0,-137.8,2.5397956845332375,5,2
19,374.0,1581.0,-126.19999999999999,2.539795661283549,5,2
20,374.0,1581.0,-114.60000000000002,2.5397980247048624,5,2
21,374.0,1581.0,-103.0,2.5398027567988066,5,2
22,374.0,1581.0,-91.39999999999998,2.5398098264259232,5,2
23,374.0,1581.0,-79.80000000000001,2.53981918970573,5,2
24,550.0,1271.0,-195.8,2.538759974822972,5,3
25,550.0,1271.0,-184.2,2.5387335685972836,5,3
26,550.0,1271.0,-172.60000000000002,2.5387121789595133,5,3
27,550.0,1271.0,-161.0,2.5386959543974066,5,3
28,550.0,1271.0,-149.39999999999998,2.5386850039720565,5,3
29,550.0,1271.0,-137.8,2.538679395652374,5,3
30,550.0,1271.0,-126.19999999999999,2.5386791553421717,5,3
31,550.0,1271.0,-114.60000000000002,2.538684266625915,5,3
32,550.0,1271.0,-103.0,2.5386946712369762,5,3
33,330.0,1333.0,-195.8,2.5402701551946096,5,4
34,330.0,1333.0,-184.2,2.540262421269115,5,4
35,330.0,1333.0,-172.60000000000002,2.5402561696863977,5,4
36,330.0,1333.0,-161.0,2.5402514284637894,5,4
37,330.0,1333.0,-149.39999999999998,2.5402482182981885,5,4
38,330.0,1333.0,-137.8,2.5402465523732607,5,4
39,330.0,1333.0,-126.19999999999999,2.5402464362429655,5,4
40,418.0,2511.0,-103.0,2.5413847999809707,5,5
41,418.0,2511.0,-91.39999999999998,2.541384844455303,5,5
42,418.0,2511.0,-79.80000000000001,2.5413849269468622,5,5
43,418.0,2511.0,-68.19999999999999,2.541385047201144,5,5
44,418.0,2511.0,-56.60000000000002,2.541385204873492,5,5
45,594.0,1395.0,-161.0,2.5368338557754875,5,6
46,594.0,1395.0,-149.39999999999998,2.5368124903932756,5,6
47,594.0,1395.0,-137.8,2.5368026201256346,5,6
48,594.0,1395.0,-126.19999999999999,2.536804300651519,5,6
49,594.0,1395.0,-114.60000000000002,2.536817466119678,5,6
50,594.0,1395.0,-103.0,2.5368419312891137,5,6
51,594.0,2077.0,-207.39999999999998,2.5408256874834003,5,7
52,594.0,2077.0,-195.8,2.540820101598169,5,7
53,594.0,2077.0,-184.2,2.540815262925808,5,7
54,594.0,2077.0,-172.60000000000002,2.5408111919763106,5,7
55,594.0,2077.0,-161.0,2.540807905702742,5,7
56,594.0,2077.0,-149.39999999999998,2.5408054173516788,5,7
57,594.0,2077.0,-137.8,2.540803736349676,5,7
58,594.0,2077.0,-126.19999999999999,2.5408028682274932,5,7
59,594.0,2077.0,-114.60000000000002,2.540802814583192,5,7
60,594.0,2077.0,-103.0,2.540803573084367,5,7
61,594.0,2077.0,-91.39999999999998,2.5408051375094574,5,7
62,374.0,1767.0,-207.39999999999998,2.5402892674821533,5,8
63,374.0,1767.0,-195.8,2.5402798841696734,5,8
64,374.0,1767.0,-184.2,2.5402719607046422,5,8
65,374.0,1767.0,-172.60000000000002,2.5402655335980016,5,8
66,374.0,1767.0,-161.0,2.5402606320952095,5,8
67,374.0,1767.0,-149.39999999999998,2.5402572778934203,5,8
68,374.0,1767.0,-137.8,2.5402554849359382,5,8
69,374.0,1767.0,-126.19999999999999,2.540255259287252,5,8
70,374.0,1767.0,-114.60000000000002,2.540256599090763,5,8
71,374.0,1767.0,-103.0,2.540259494609567,5,8
72,374.0,1767.0,-91.39999999999998,2.5402639283494053,5,8
73,550.0,217.0,-184.2,2.541426148091985,5,9
74,550.0,217.0,-172.60000000000002,2.541426086851524,5,9
75,638.0,341.0,-230.6,2.5414154275836784,5,10
76,638.0,341.0,-219.0,2.541415226908619,5,10
77,638.0,341.0,-207.39999999999998,2.541415041439002,5,10
78,638.0,341.0,-195.8,2.541414871561097,5,10
79,638.0,341.0,-184.2,2.5414147176269317,5,10
80,638.0,341.0,-172.60000000000002,2.5414145799528773,5,10
81,638.0,341.0,-161.0,2.541414458818386,5,10
82,638.0,341.0,-149.39999999999998,2.541414354464887,5,10
83,638.0,341.0,-137.8,2.541414267094857,5,10
84,550.0,1147.0,-219.0,2.5397969180395257,5,11
85,550.0,1147.0,-207.39999999999998,2.539777001881225,5,11
86,550.0,1147.0,-195.8,2.5397595883420294,5,11
87,550.0,1147.0,-184.2,2.539744779026354,5,11
88,550.0,1147.0,-172.60000000000002,2.539732659945628,5,11
89,550.0,1147.0,-161.0,2.539723300430036,5,11
90,550.0,1147.0,-149.39999999999998,2.53971675225718,5,11
91,550.0,1147.0,-137.8,2.5397130490171484,5,11
92,550.0,1147.0,-126.19999999999999,2.539712205727841,5,11
93,550.0,1147.0,-114.60000000000002,2.539714218708575,5,11
94,638.0,2945.0,-137.8,2.5414343996433804,5,12
95,638.0,2945.0,-126.19999999999999,2.5414343839929106,5,12
96,638.0,2945.0,-114.60000000000002,2.541434371153928,5,12
97,638.0,2945.0,-103.0,2.5414343611438,5,12
98,638.0,2945.0,-91.39999999999998,2.5414343539747204,5,12
99,638.0,2945.0,-79.80000000000001,2.541434349653673,5,12
100,638.0,2945.0,-68.19999999999999,2.541434348182433,5,12
101,638.0,2945.0,-56.60000000000002,2.5414343495575746,5,12
102,638.0,2945.0,-45.0,2.541434353770497,5,12
103,638.0,2945.0,-33.39999999999998,2.5414343608074734,5,12
104,638.0,2945.0,-21.80000000000001,2.5414343706497147,5,12
105,462.0,589.0,-207.39999999999998,2.541345937085474,5,13
106,462.0,589.0,-195.8,2.5413453689228027,5,13
107,462.0,589.0,-184.2,2.541344871589728,5,13
108,462.0,589.0,-172.60000000000002,2.5413444463237127,5,13
109,462.0,589.0,-161.0,2.5413440941682617,5,13
110,550.0,1085.0,-230.6,2.5402029875604115,5,14
111,550.0,1085.0,-219.0,2.5401870557940853,5,14
112,550.0,1085.0,-207.39999999999998,2.5401728102255903,5,14
113,550.0,1085.0,-195.8,2.5401603259939507,5,14
114,550.0,1085.0,-184.2,2.540149669002156,5,14
115,550.0,1085.0,-172.60000000000002,2.540140895172487,5,14
116,550.0,1085.0,-161.0,2.5401340498139806,5,14
117,550.0,1085.0,-149.39999999999998,2.54012916711444,5,14
118,550.0,1085.0,-137.8,2.5401262697670615,5,14
119,550.0,1085.0,-126.19999999999999,2.540125368738902,5,14
120,506.0,1271.0,-219.0,2.539244869776482,5,15
121,506.0,1271.0,-207.39999999999998,2.539217536279993,5,15
122,506.0,1271.0,-195.8,2.539193747672353,5,15
123,506.0,1271.0,-184.2,2.539173654368016,5,15
124,506.0,1271.0,-172.60000000000002,2.539157383144283,5,15
125,506.0,1271.0,-161.0,2.539145035388627,5,15
126,506.0,1271.0,-149.39999999999998,2.5391366857009396,5,15
127,506.0,1271.0,-137.8,2.5391323808853623,5,15
128,506.0,1271.0,-126.19999999999999,2.5391321393558206,5,15
129,506.0,1271.0,-114.60000000000002,2.5391359509693134,5,15
130,506.0,1271.0,-103.0,2.5391437772892047,5,15
131,506.0,1271.0,-91.39999999999998,2.5391555522703313,5,15
132,594.0,899.0,-242.2,2.5409170945034134,5,16
133,594.0,899.0,-230.6,2.540910496440683,5,16
134,594.0,899.0,-219.0,2.5409044679978168,5,16
135,594.0,899.0,-207.39999999999998,2.5408990339943323,5,16
136,594.0,899.0,-195.8,2.54089421684196,5,16
137,594.0,899.0,-184.2,2.540890036352467,5,16
138,594.0,899.0,-172.60000000000002,2.5408865095673585,5,16
139,594.0,899.0,-161.0,2.54088365061207,5,16
140,594.0,899.0,-149.39999999999998,2.5408814705766565,5,16
141,594.0,899.0,-137.8,2.5408799774248476,5,16
142,770.0,2635.0,-161.0,2.541417774416024,5,17
143,770.0,2635.0,-149.39999999999998,2.541417633525658,5,17
144,770.0,2635.0,-137.8,2.541417508610612,5,17
145,770.0,2635.0,-126.19999999999999,2.541417399917338,5,17
146,770.0,2635.0,-114.60000000000002,2.541417307650801,5,17
147,770.0,2635.0,-103.0,2.5414172319737514,5,17
148,770.0,2635.0,-91.39999999999998,2.541417173006198,5,17
149,770.0,2635.0,-79.80000000000001,2.541417130825091,5,17
150,770.0,2325.0,-195.8,2.5413090497446147,5,18
151,770.0,2325.0,-184.2,2.541307776923688,5,18
152,770.0,2325.0,-172.60000000000002,2.541306634442878,5,18
153,770.0,2325.0,-161.0,2.5413056258356623,5,18
