X,Y,Z,dip,azimuth,polarity,formation,section
248.8184,1500,-348.9675,180,90,1,lowererosion,sectionb
381.254,1500,-301.07,180,90,1,lowererosion,sectionb
445.4652,1500,-229.908,180,90,1,lowererosion,sectionb
514.6929,1500,-165.5885,180,90,1,lowererosion,sectionb
613.0163,1500,-150.535,180,90,1,lowererosion,sectionb
704.3166,1500,-192.9585,180,90,1,lowererosion,sectionb
822.706,1500,-244.9615,180,90,1,lowererosion,sectionb
964.1713,1500,-251.804,180,90,1,lowererosion,sectionb
1143.762,1500,-240.856,180,90,1,lowererosion,sectionb
1211.9864,1500,-180.642,180,90,1,lowererosion,sectionb
1305.2933,1500,-176.5365,180,90,1,lowererosion,sectionb
1427.6959,1500,-227.171,180,90,1,lowererosion,sectionb
1561.1348,1500,-286.0165,180,90,1,lowererosion,sectionb
1692.5671,1500,-290.122,180,90,1,lowererosion,sectionb
1775.841,1500,-280.5425,180,90,1,lowererosion,sectionb
1859.1149,1500,-303.807,180,90,1,lowererosion,sectionb
1864.1314,1500,-279.174,180,90,1,lowererosion,sectionb
1925.3327,1500,-220.3285,180,90,1,lowererosion,sectionb
2018.6396,1500,-154.6405,180,90,1,lowererosion,sectionb
2062.7848,1500,-83.4785,180,90,1,lowererosion,sectionb
2115.9597,1500,-30.107,180,90,1,lowererosion,sectionb
0,3000,-193.128432,0,90,1,topo,sectionc
165.93753,3000,-113.60496,0,90,1,topo,sectionc
377.13075,3000,-65.322852,0,90,1,topo,sectionc
522.95464,3000,0,0,90,1,topo,sectionc
630.562614,3000,-19.880868,0,90,1,topo,sectionc
754.2615,3000,-36.921612,0,90,1,topo,sectionc
946.346762,3000,-46.862046,0,90,1,topo,sectionc
1173.630894,3000,-56.80248,0,90,1,topo,sectionc
1394.880934,3000,-51.122232,0,90,1,topo,sectionc
1567.858238,3000,-53.962356,0,90,1,topo,sectionc
1810.2276,3000,-105.084588,0,90,1,topo,sectionc
2057.625372,3000,-69.583038,0,90,1,topo,sectionc
1363.704792,3000,-48.282108,30,90,1,lowercenomonian,sectionc
1411.977528,3000,-89.463906,30,90,1,lowercenomonian,sectionc
1534.670732,3000,-89.463906,30,90,1,lowercenomonian,sectionc
1651.329844,3000,-100.824402,30,90,1,lowercenomonian,sectionc
1767.988956,3000,-124.965456,30,90,1,lowercenomonian,sectionc
1838.386696,3000,-137.746014,30,90,1,lowercenomonian,sectionc
1921.858302,3000,-151.946634,30,90,1,lowercenomonian,sectionc
2000.301498,3000,-164.727192,30,90,1,lowercenomonian,sectionc
2124.000384,3000,-151.946634,30,90,1,lowercenomonian,sectionc

1013.727456,3000,-15.620682,30,90,1,upperliassic,sectionc
1059.988828,3000,-80.943534,30,90,1,upperliassic,sectionc
1151.50589,3000,-97.984278,30,90,1,upperliassic,sectionc
1253.079772,3000,-82.363596,30,90,1,upperliassic,sectionc
1336.551378,3000,-86.623782,30,90,1,upperliassic,sectionc
1389.852524,3000,-137.746014,30,90,1,upperliassic,sectionc
1468.29572,3000,-154.786758,30,90,1,upperliassic,sectionc
1591.994606,3000,-136.325952,30,90,1,upperliassic,sectionc
1728.767358,3000,-140.586138,30,90,1,upperliassic,sectionc
1791.119642,3000,-180.347874,30,90,1,upperliassic,sectionc
1876.602612,3000,-234.31023,30,90,1,upperliassic,sectionc
1945.99467,3000,-235.730292,30,90,1,upperliassic,sectionc
1997.284452,3000,-281.172276,30,90,1,upperliassic,sectionc
2117.966292,3000,-326.61426,30,90,1,upperliassic,sectionc
887.011524,3000,-59.642604,30,90,1,middleliassic,sectionc
969.477448,3000,-120.70527,30,90,1,middleliassic,sectionc
1036.858142,3000,-173.247564,30,90,1,middleliassic,sectionc
1102.227472,3000,-208.749114,30,90,1,middleliassic,sectionc
1197.767262,3000,-186.028122,30,90,1,middleliassic,sectionc
1285.261596,3000,-170.40744,30,90,1,middleliassic,sectionc
1351.636608,3000,-205.90899,30,90,1,middleliassic,sectionc
1412.98321,3000,-251.350974,30,90,1,middleliassic,sectionc
1526.625276,3000,-225.789858,30,90,1,middleliassic,sectionc
1649.31848,3000,-224.369796,30,90,1,middleliassic,sectionc
1753.909408,3000,-262.71147,30,90,1,middleliassic,sectionc
1858.500336,3000,-329.454384,30,90,1,middleliassic,sectionc
1884.648068,3000,-350.755314,30,90,1,middleliassic,sectionc
1932.920804,3000,-340.81488,30,90,1,middleliassic,sectionc
1965.102628,3000,-381.996678,30,90,1,middleliassic,sectionc
2031.47764,3000,-444.479406,30,90,1,middleliassic,sectionc
359.028474,3000,-42.60186,30,90,1,lowerliassic,sectionc
420.375076,3000,-103.664526,30,90,1,lowerliassic,sectionc
468.647812,3000,-171.827502,30,90,1,lowerliassic,sectionc
622.517158,3000,-279.752214,30,90,1,lowerliassic,sectionc
877.960386,3000,-420.338352,30,90,1,lowerliassic,sectionc
1283.250232,3000,-426.0186,30,90,1,lowerliassic,sectionc
285.613688,3000,-78.10341,30,90,1,permiantriassic,sectionc
344.948926,3000,-147.686448,30,90,1,permiantriassic,sectionc
412.32962,3000,-177.50775,30,90,1,permiantriassic,sectionc
714.03422,3000,-366.375996,30,90,1,permiantriassic,sectionc
9.051138,3000,-181.767936,200,90,1,lowererosion,sectionc
350.983018,3000,-207.329052,160,90,1,lowererosion,sectionc
552.119418,3000,-134.90589,180,90,1,lowererosion,sectionc
808.568328,3000,-120.70527,190,90,1,lowererosion,sectionc
1032.835414,3000,-170.40744,170,90,1,lowererosion,sectionc
1158.545664,3000,-200.228742,190,90,1,lowererosion,sectionc
1350.630926,3000,-203.068866,190,90,1,lowererosion,sectionc
1534.670732,3000,-241.41054,180,90,1,lowererosion,sectionc
1814.250328,3000,-295.372896,180,90,1,lowererosion,sectionc
1920.85262,3000,-345.075066,180,90,1,lowererosion,sectionc
2013.375364,3000,-437.379096,180,90,1,lowererosion,sectionc
