X,Y,Z,dip,azimuth,polarity,formation,section
1686,0,-134,0,90,1,sulfidic-graphiticmetawacke&shale,grades
1723,0,-115,0,90,1,sulfidic-graphiticmetawacke&shale,grades
1758,0,-109,0,90,1,sulfidic-graphiticmetawacke&shale,grades
1809,0,-109,0,90,1,sulfidic-graphiticmetawacke&shale,grades
1836,0,-131,0,90,1,sulfidic-graphiticmetawacke&shale,grades
1871,0,-150,0,90,1,sulfidic-graphiticmetawacke&shale,grades
1901,0,-167,0,90,1,sulfidic-graphiticmetawacke&shale,grades
1924,0,-180,0,90,1,sulfidic-graphiticmetawacke&shale,grades
608,0,-59,0,90,1,footwall_quartzwacke,grades
638,0,-87,0,90,1,footwall_quartzwacke,grades
655,0,-118,0,90,1,footwall_quartzwacke,grades
682,0,-149,0,90,1,footwall_quartzwacke,grades
712,0,-183,0,90,1,footwall_quartzwacke,grades
764,0,-219,0,90,1,footwall_quartzwacke,grades
807,0,-264,0,90,1,footwall_quartzwacke,grades
857,0,-306,0,90,1,footwall_quartzwacke,grades
910,0,-334,0,90,1,footwall_quartzwacke,grades
1001,0,-346,0,90,1,footwall_quartzwacke,grades
1123,0,-352,0,90,1,footwall_quartzwacke,grades
1272,0,-358,0,90,1,footwall_quartzwacke,grades
1449,0,-357,0,90,1,footwall_quartzwacke,grades
1587,0,-335,0,90,1,footwall_quartzwacke,grades
1687,0,-293,0,90,1,footwall_quartzwacke,grades
1801,0,-273,0,90,1,footwall_quartzwacke,grades
1895,0,-293,0,90,1,footwall_quartzwacke,grades
140,0,-28,0,90,1,metapyroxenite-gabbrosill,grades
159,0,-53,0,90,1,metapyroxenite-gabbrosill,grades
159,0,-70,0,90,1,metapyroxenite-gabbrosill,grades
164,0,-86,0,90,1,metapyroxenite-gabbrosill,grades
173,0,-107,0,90,1,metapyroxenite-gabbrosill,grades
173,0,-133,0,90,1,metapyroxenite-gabbrosill,grades
173,0,-161,0,90,1,metapyroxenite-gabbrosill,grades
177,0,-182,0,90,1,metapyroxenite-gabbrosill,grades
210,0,-186,0,90,1,metapyroxenite-gabbrosill,grades
218,0,-171,0,90,1,metapyroxenite-gabbrosill,grades
217,0,-144,0,90,1,metapyroxenite-gabbrosill,grades
211,0,-110,0,90,1,metapyroxenite-gabbrosill,grades
199,0,-87,0,90,1,metapyroxenite-gabbrosill,grades
179,0,-54,0,90,1,metapyroxenite-gabbrosill,grades
166,0,-26,0,90,1,metapyroxenite-gabbrosill,grades
485,0,-20,0,90,1,micaschist,grades
502,0,-40,0,90,1,micaschist,grades
512,0,-70,0,90,1,micaschist,grades
538,0,-92,0,90,1,micaschist,grades
592,0,-120,0,90,1,micaschist,grades
627,0,-153,0,90,1,micaschist,grades
660,0,-184,0,90,1,micaschist,grades
696,0,-218,0,90,1,micaschist,grades
740,0,-257,0,90,1,micaschist,grades
766,0,-284,0,90,1,micaschist,grades
412,0,0,0,90,1,quartzite,grades
434,0,-35,0,90,1,quartzite,grades
441,0,-71,0,90,1,quartzite,grades
454,0,-90,0,90,1,quartzite,grades
472,0,-133,0,90,1,quartzite,grades
489,0,-165,0,90,1,quartzite,grades
509,0,-207,0,90,1,quartzite,grades
527,0,-238,0,90,1,quartzite,grades
546,0,-274,0,90,1,quartzite,grades
251,0,-4,0,90,1,arkosite,grades
268,0,-37,0,90,1,arkosite,grades
279,0,-72,0,90,1,arkosite,grades
297,0,-115,0,90,1,arkosite,grades
316,0,-149,0,90,1,arkosite,grades
338,0,-193,0,90,1,arkosite,grades
369,0,-243,0,90,1,arkosite,grades
108,0,-6,0,90,1,quartzite2,grades
129,0,-36,0,90,1,quartzite2,grades
130,0,-66,0,90,1,quartzite2,grades
118,0,-103,0,90,1,quartzite2,grades
105,0,-149,0,90,1,quartzite2,grades
