X,Y,Z,grade,borehole
949.87,730.0,-452.09,0.4345056865623807,6
949.87,730.0,-437.75,0.4345255589878842,6
949.87,730.0,-423.41,0.4345459919398324,6
949.87,730.0,-409.0700000000001,0.4345668805041377,6
949.87,730.0,-394.73,0.4345881097246882,6
949.87,730.0,-380.39,0.434609555185515,6
949.87,730.0,-366.05,0.4346310837857866,6
949.87,730.0,-351.71000000000004,0.4346525547123527,6
949.87,730.0,-337.37,0.4346738206101987,6
949.87,730.0,-323.03000000000003,0.4346947289462889,6
949.87,730.0,-308.69,0.4347151235569021,6
949.87,730.0,-294.35,0.4347348463629067,6
949.87,730.0,-280.01,0.4347537392315865,6
949.87,730.0,-265.67,0.4347716459579165,6
949.87,730.0,-251.33,0.4347884143327185,6
949.87,730.0,-236.99,0.4348038982602094,6
949.87,730.0,-222.65,0.4348179598833648,6
949.87,730.0,-208.31,0.4348304716723508,6
949.87,730.0,-193.97,0.4348413184294314,6
949.87,730.0,-179.63,0.4348503991632344,6
949.87,730.0,-165.28999999999996,0.434857628786291,6
