X,Y,Z,grade,borehole
1192.39,10.0,-466.43000000000006,0.4557078098563295,39
1192.39,10.0,-452.09,0.4620047138851428,39
1192.39,10.0,-437.75,0.4692741958719745,39
1192.39,10.0,-423.41,0.4771372116436251,39
1192.39,10.0,-409.0700000000001,0.484316304964292,39
1192.39,10.0,-394.73,0.4860462662670818,39
1192.39,10.0,-380.39,0.4691662113691567,39
1192.39,10.0,-366.05,0.4448524611682922,39
1192.39,10.0,-351.71000000000004,0.4303657111088581,39
1192.39,10.0,-337.37,0.4301997941375242,39
1192.39,10.0,-323.03000000000003,0.4306440027381379,39
1192.39,10.0,-308.69,0.4271263623957426,39
1192.39,10.0,-294.35,0.4224266398944041,39
1192.39,10.0,-280.01,0.4164848392357197,39
1192.39,10.0,-265.67,0.4101702240478968,39
1192.39,10.0,-251.33,0.4049627910551229,39
1192.39,10.0,-236.99,0.403154986025017,39
1192.39,10.0,-222.65,0.4032483412319831,39
1192.39,10.0,-208.31,0.4040915006248725,39
1192.39,10.0,-193.97,0.4054594683405451,39
1192.39,10.0,-179.63,0.4072601109539698,39
1192.39,10.0,-165.28999999999996,0.4094591259194715,39
1192.39,10.0,-150.95,0.4120734946819413,39
1192.39,10.0,-136.61,0.4150725915689502,39
1192.39,10.0,-122.26999999999998,0.4183052580338289,39
1192.39,10.0,-107.93,0.4215929689970414,39
1192.39,10.0,-93.59000000000005,0.4248134383138646,39
1192.39,10.0,-79.25,0.4278095284346194,39
1192.39,10.0,-64.90999999999997,0.4301506531641637,39
