X,Y,Z,grade,formation
242.0,837.0,-172.60000000000002,2.0620717405874913,5
242.0,899.0,-184.2,2.0622410744537207,5
242.0,899.0,-172.60000000000002,2.062242273502415,5
242.0,961.0,-184.2,2.0624312360414154,5
242.0,961.0,-172.60000000000002,2.062433896077174,5
242.0,961.0,-161.0,2.062435749383496,5
242.0,1023.0,-184.2,2.0626529925569406,5
242.0,1023.0,-172.60000000000002,2.0626578275604595,5
242.0,1023.0,-161.0,2.0626614644320806,5
242.0,1085.0,-195.8,2.062909368141008,5
242.0,1085.0,-184.2,2.0629195422791713,5
242.0,1085.0,-172.60000000000002,2.0629280592558725,5
242.0,1085.0,-161.0,2.062934821662552,5
242.0,1147.0,-195.8,2.0632316911495683,5
242.0,1147.0,-184.2,2.06324937688531,5
242.0,1147.0,-172.60000000000002,2.0632647119246066,5
242.0,1209.0,-207.39999999999998,2.0636039223515947,5
242.0,1209.0,-195.8,2.0636386038092502,5
242.0,1209.0,-184.2,2.0636704908927195,5
242.0,1209.0,-172.60000000000002,2.0636991567687635,5
242.0,1271.0,-219.0,2.064035896580301,5
242.0,1271.0,-207.39999999999998,2.064100429802082,5
242.0,1271.0,-195.8,2.064162610809124,5
242.0,1333.0,-219.0,2.064604099929242,5
242.0,1333.0,-207.39999999999998,2.0647150048756684,5
242.0,1395.0,-242.2,2.064878032252751,5
242.0,1395.0,-230.6,2.0650426868124123,5
242.0,1457.0,-300.2,2.064361461756903,5
242.0,1457.0,-288.6,2.064513830111188,5
242.0,1457.0,-277.0,2.0646778046796164,5
242.0,1457.0,-265.4,2.0648538838786683,5
242.0,1457.0,-253.79999999999998,2.0650424118413007,5
242.0,1457.0,-242.2,2.0652435230515667,5
242.0,1519.0,-300.2,2.064396738349114,5
242.0,1519.0,-288.6,2.064554121392738,5
242.0,1519.0,-277.0,2.0647238811199657,5
242.0,1519.0,-265.4,2.0649066140165075,5
242.0,1519.0,-253.79999999999998,2.0651027670100666,5
242.0,1519.0,-242.2,2.065312579553587,5
242.0,1581.0,-253.79999999999998,2.0648704732818626,5
242.0,1581.0,-242.2,2.065047427404765,5
242.0,1581.0,-230.6,2.065233710231752,5
242.0,1643.0,-219.0,2.0648475534254613,5
242.0,1643.0,-207.39999999999998,2.064982252789807,5
242.0,1705.0,-207.39999999999998,2.064334262137137,5
242.0,1705.0,-195.8,2.0644124828420236,5
242.0,1705.0,-184.2,2.0644876745995355,5
242.0,1767.0,-195.8,2.0638403575686763,5
242.0,1767.0,-184.2,2.0638811626364877,5
242.0,1767.0,-172.60000000000002,2.0639183819108657,5
242.0,1829.0,-184.2,2.0634220056877735,5
