X,Y,Z,grade,formation
286.0,899.0,-156.7,2.062291697689545,7
286.0,961.0,-156.7,2.0625008625300643,7
286.0,1023.0,-167.3,2.0627400935190985,7
286.0,1023.0,-156.7,2.0627425022627377,7
286.0,1085.0,-167.3,2.0630241176133834,7
286.0,1085.0,-156.7,2.063028710030271,7
286.0,1085.0,-146.10000000000002,2.0630315743822023,7
286.0,1147.0,-177.89999999999998,2.063356520051112,7
286.0,1147.0,-167.3,2.063367957906847,7
286.0,1147.0,-156.7,2.0633769531006427,7
286.0,1147.0,-146.10000000000002,2.0633833630103755,7
286.0,1209.0,-177.89999999999998,2.0637781400583064,7
286.0,1209.0,-167.3,2.063800472253677,7
286.0,1209.0,-156.7,2.063819242686541,7
286.0,1271.0,-177.89999999999998,2.0643299127775694,7
286.0,1271.0,-167.3,2.0643764647782263,7
286.0,1271.0,-156.7,2.06441808444102,7
286.0,1333.0,-177.89999999999998,2.0650794214335373,7
286.0,1705.0,-167.3,2.0646654264763153,7
286.0,1705.0,-156.7,2.064722841446657,7
286.0,1767.0,-167.3,2.0640174341739232,7
286.0,1767.0,-156.7,2.064043185152691,7
286.0,1767.0,-146.10000000000002,2.0640643610698213,7
286.0,1829.0,-156.7,2.063557688397716,7
286.0,1829.0,-146.10000000000002,2.0635669873542906,7
286.0,1829.0,-135.5,2.06357305291342,7
286.0,1829.0,-124.89999999999998,2.063575732640158,7
286.0,1891.0,-146.10000000000002,2.0631936939866016,7
286.0,1891.0,-135.5,2.063196103467684,7
286.0,1891.0,-124.89999999999998,2.063196322707694,7
286.0,1953.0,-135.5,2.062901079237215,7
286.0,1953.0,-124.89999999999998,2.062900766486731,7
286.0,1953.0,-114.30000000000001,2.0628989689488644,7
286.0,2015.0,-114.30000000000001,2.0626637415739197,7
286.0,2015.0,-103.69999999999999,2.062661500759611,7
286.0,2077.0,-103.69999999999999,2.062474459296628,7
286.0,2139.0,-93.10000000000002,2.062325272795447,7
330.0,713.0,-167.3,2.0617614402519036,7
330.0,775.0,-167.3,2.0619529943250225,7
330.0,837.0,-177.89999999999998,2.0621445536697443,7
330.0,837.0,-167.3,2.062144360166824,7
330.0,837.0,-156.7,2.0621438431997468,7
330.0,899.0,-177.89999999999998,2.0623472083875245,7
330.0,899.0,-167.3,2.0623479826622098,7
330.0,899.0,-156.7,2.0623482047853794,7
330.0,899.0,-146.10000000000002,2.062347868263179,7
330.0,961.0,-177.89999999999998,2.0625728950157987,7
330.0,961.0,-167.3,2.0625747341535394,7
330.0,961.0,-156.7,2.062575722525602,7
330.0,961.0,-146.10000000000002,2.062575845635295,7
330.0,1023.0,-188.5,2.062825931627893,7
330.0,1023.0,-177.89999999999998,2.0628303945237625,7
330.0,1023.0,-167.3,2.0628336322553884,7
330.0,1023.0,-156.7,2.0628356087335975,7
330.0,1023.0,-146.10000000000002,2.062836294157396,7
330.0,1023.0,-135.5,2.062835665611453,7
330.0,1085.0,-188.5,2.063119117135282,7
330.0,1085.0,-177.89999999999998,2.0631262918455153,7
330.0,1085.0,-167.3,2.063131694961365,7
330.0,1085.0,-156.7,2.0631352533874674,7
330.0,1085.0,-146.10000000000002,2.0631369043932546,7
330.0,1085.0,-135.5,2.0631365971010385,7
330.0,1147.0,-199.10000000000002,2.0634397898299457,7
330.0,1147.0,-188.5,2.063454024247257,7
330.0,1147.0,-177.89999999999998,2.0634658920565285,7
330.0,1147.0,-167.3,2.0634752238833474,7
330.0,1147.0,-156.7,2.0634818627735507,7
330.0,1147.0,-146.10000000000002,2.0634856681921683,7
330.0,1147.0,-135.5,2.063486519977087,7
330.0,1209.0,-199.10000000000002,2.063812877587748,7
330.0,1209.0,-188.5,2.063837277467548,7
330.0,1209.0,-177.89999999999998,2.0638584859971996,7
330.0,1209.0,-167.3,2.063876131401542,7
330.0,1209.0,-156.7,2.063889852731411,7
330.0,1209.0,-146.10000000000002,2.0638993103543557,7
330.0,1209.0,-135.5,2.063904196994105,7
330.0,1209.0,-124.89999999999998,2.063904248855952,7
330.0,1271.0,-199.10000000000002,2.064244384706852,7
330.0,1271.0,-188.5,2.0642904083585303,7
330.0,1271.0,-177.89999999999998,2.0643326457318154,7
330.0,1271.0,-167.3,2.0643702542386526,7
330.0,1271.0,-156.7,2.064402363678384,7
330.0,1271.0,-146.10000000000002,2.06442810187655,7
330.0,1271.0,-135.5,2.0644466246553144,7
330.0,1271.0,-124.89999999999998,2.0644571491190242,7
330.0,1333.0,-199.10000000000002,2.064773300759402,7
330.0,1333.0,-188.5,2.0648677312038575,7
330.0,1333.0,-177.89999999999998,2.064959951720885,7
330.0,1333.0,-167.3,2.0650481957304065,7
330.0,1333.0,-156.7,2.0651304644629156,7
330.0,1333.0,-146.10000000000002,2.0652045632772453,7
330.0,1333.0,-135.5,2.0652681580434886,7
330.0,1333.0,-124.89999999999998,2.065318853690215,7
330.0,1395.0,-188.5,2.0656229675462976,7
330.0,1395.0,-177.89999999999998,2.0658226685359593,7
