X,Y,Z,dip,azimuth,polarity,formation,section
983.931325,250,-1142.747736,-40,90,1,trachyandestictuff,10
1077.044826,250,-1088.522448,-40,90,1,trachyandestictuff,10
1099.123285,250,-1076.472384,-40,90,1,trachyandestictuff,10
0.0,500,0.0,0,90,1,topo,12
183.220288,500,-56.4221112,0,90,1,topo,12
245.593152,500,-89.6708553,0,90,1,topo,12
336.22872,500,-131.9874387,0,90,1,topo,12
512.626976,500,-146.0929665,0,90,1,topo,12
603.262544,500,-99.7462323,0,90,1,topo,12
696.82184,500,-72.5427144,0,90,1,topo,12
845.931968,500,-106.7989962,0,90,1,topo,12
937.542112,500,-91.6859307,0,90,1,topo,12
999.914976,500,-90.678393,0,90,1,topo,12
1130.50816,500,-95.7160815,0,90,1,topo,12
182.245712,500,-1194.9397122,-80,90,1,biomicritedolomite,12
230.974512,500,-1129.4497617,-80,90,1,biomicritedolomite,12
239.745696,500,-1051.8693588,-60,90,1,biomicritedolomite,12
213.432144,500,-919.8819201,-60,90,1,biomicritedolomite,12
182.245712,500,-759.6834258,-60,90,1,biomicritedolomite,12
150.084704,500,-533.994981,-50,90,1,biomicritedolomite,12
181.271136,500,-355.6608081,-40,90,1,biomicritedolomite,12
261.186368,500,-185.3869368,-40,90,1,biomicritedolomite,12
305.042288,500,-131.9874387,-40,90,1,biomicritedolomite,12
479.491392,500,-46.3467342,0,90,1,biomicritedolomite,12
731.906576,500,-32.2412064,0,90,1,biomicritedolomite,12
862.49976,500,-86.6482422,60,90,1,biomicritedolomite,12
946.313296,500,-135.0100518,60,90,1,biomicritedolomite,12
1017.457344,500,-202.5150777,60,90,1,biomicritedolomite,12
1117.838672,500,-331.4799033,60,90,1,biomicritedolomite,12
1140.25392,500,-358.6834212,60,90,1,biomicritedolomite,12
1145.1268,500,-359.6909589,50,90,1,tuff,12
1095.423424,500,-301.2537723,50,90,1,tuff,12
1045.720048,500,-239.7939726,50,90,1,tuff,12
993.092944,500,-171.281409,50,90,1,tuff,12
897.584496,500,-106.7989962,50,90,1,tuff,12
991.143792,500,-78.5879406,190,90,1,tuff,12
1149.99968,500,-75.5653275,190,90,1,tuff,12
