X;Y;Z;formation
839.5;258;-201.3;tuff
839.5;258;-515.7;alkalibasalt
241.5;486;86.9;topo
241.5;486;-96.5;biomicritedolomite
241.5;486;-201.3;alkalibasalt
540.5;354;-620.5;trachyandestictuff
540.5;354;86.9;topo
540.5;354;-1092.1;lstlens
540.5;354;-227.5;alkalibasalt
839.5;42;-777.7;trachyandestictuff
839.5;42;86.9;topo
839.5;42;-227.5;tuff
839.5;42;-541.9;alkalibasalt
1069.5;186;-777.7;trachyandestictuff
1069.5;186;86.9;topo
1069.5;186;-279.9;tuff
1069.5;186;-122.7;biomicritedolomite
1069.5;186;-672.9;alkalibasalt
34.5;534;86.9;topo
34.5;534;-17.9;biomicritedolomite
1069.5;126;-803.9;trachyandestictuff
1069.5;126;86.9;topo
1069.5;126;-279.9;tuff
1069.5;126;-122.7;biomicritedolomite
1069.5;126;-253.7;alkalibasalt
540.5;258;-646.7;trachyandestictuff
540.5;258;86.9;topo
540.5;258;-1039.7;lstlens
540.5;258;-279.9;alkalibasalt
80.5;246;-961.1;trachyandestictuff
80.5;246;86.9;topo
80.5;246;-70.3;biomicritedolomite
80.5;246;-410.9;alkalibasalt
448.5;342;-699.1;trachyandestictuff
448.5;342;86.9;topo
448.5;342;-987.3;lstlens
448.5;342;-253.7;alkalibasalt
1092.5;246;-751.5;trachyandestictuff
1092.5;246;86.9;topo
1092.5;246;-306.1;tuff
1092.5;246;-122.7;biomicritedolomite
1092.5;246;-672.9;alkalibasalt
908.5;222;-699.1;trachyandestictuff
908.5;222;86.9;topo
908.5;222;-227.5;tuff
908.5;222;-175.1;biomicritedolomite
908.5;222;-541.9;alkalibasalt
540.5;390;-568.1;trachyandestictuff
540.5;390;86.9;topo
540.5;390;-1170.7;lstlens
540.5;390;-201.3;alkalibasalt
816.5;414;-410.9;trachyandestictuff
816.5;414;86.9;topo
816.5;414;-148.9;alkalibasalt
402.5;414;86.9;topo
402.5;414;-1170.7;lstlens
402.5;414;-175.1;alkalibasalt
264.5;390;86.9;topo
264.5;390;-1196.9;lstlens
264.5;390;-148.9;biomicritedolomite
264.5;390;-227.5;alkalibasalt
977.5;366;-620.5;trachyandestictuff
977.5;366;86.9;topo
977.5;366;-332.3;tuff
977.5;366;-122.7;biomicritedolomite
977.5;366;-227.5;alkalibasalt
