X,Y,Z,dip,azimuth,polarity,formation
418.1012,1500,-595.3941,30,90,2,centralaplite
468.1732,1500,-608.58,30,90,2,centralaplite
554.5474,1500,-629.8803,40,90,2,centralaplite
637.1662,1500,-649.152,-10,90,2,centralaplite
696.0008,1500,-660.3093,-20,90,2,centralaplite
123.9282,1500,-469.6209,40,90,1,southwestporphyry
160.2304,1500,-474.6924,10,90,1,southwestporphyry
187.77,1500,-479.7639,10,90,1,southwestporphyry
221.5686,1500,-490.9212,20,90,1,southwestporphyry
274.1442,1500,-531.4932,40,90,1,southwestporphyry
312.95,1500,-561.9222,40,90,1,southwestporphyry
371.7846,1500,-592.3512,40,90,1,southwestporphyry
436.8782,1500,-616.6944,30,90,1,southwestporphyry
471.9286,1500,-628.866,30,90,1,southwestporphyry
563.31,1500,-649.152,20,90,1,southwestporphyry
618.3892,1500,-662.3379,10,90,1,southwestporphyry
639.6698,1500,-663.3522,-10,90,1,southwestporphyry
668.4612,1500,-667.4094,-10,90,1,southwestporphyry
708.5188,1500,-667.4094,-10,90,1,southwestporphyry
0,1500,-680,10,90,1,questagraniteporphyry
100,1500,-700,10,90,1,questagraniteporphyry
200,1500,-720,10,90,1,questagraniteporphyry
300,1500,-760,10,90,1,questagraniteporphyry
0,2500,-130.942031,0,90,1,topo
382.5636,2500,-31.086957,0,90,1,topo
546.9584,2500,-81.014494,0,90,1,topo
918.7672,2500,-24.492754,0,90,1,topo
1066.2616,2500,-5.942029,0,90,1,topo
1222.9744,2500,-5,0,90,1,topo
1.5364,2500,-557.681168,0,90,1,host rock
115.23,2500,-565.2174,0,90,1,host rock
156.7128,2500,-568.985516,0,90,1,host rock
247.3604,2500,-567.101458,0,90,1,host rock
307.28,2500,-560.507255,0,90,1,host rock
381.0272,2500,-539.782617,0,90,1,host rock
444.0196,2500,-526.594211,0,90,1,host rock
507.012,2500,-532.246385,0,90,1,host rock
652.97,2500,-554.855081,0,90,1,host rock
691.38,2500,-564.275371,0,90,1,host rock
780.4912,2500,-560.507255,0,90,1,host rock
891.112,2500,-548.260878,0,90,1,host rock
1030.9244,2500,-565.2174,0,90,1,host rock
1120.0356,2500,-582.173922,0,90,1,host rock
1186.1008,2500,-597.246386,0,90,1,host rock
139.8124,2500,-669.782619,0,90,2,centralaplite
354.9084,2500,-677.318851,0,90,2,centralaplite
433.2648,2500,-682.971025,0,90,2,centralaplite
560.786,2500,-736.666678,0,90,2,centralaplite
714.426,2500,-757.391316,0,90,2,centralaplite
929.522,2500,-749.855084,0,90,2,centralaplite
1153.8364,2500,-766.811606,0,90,2,centralaplite
10,2500,-740,5,90,2,questagraniteporphyry
100,2500,-760,10,90,2,questagraniteporphyry
300,2500,-770,10,90,2,questagraniteporphyry
